accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
1604240733.2177198,1.0380859375,0.558837890625,-0.2362060546875,-5.8320610687022905,-8.01526717557252,-13.076335877862595,squat
1604240733.2577198,1.142333984375,0.539306640625,-0.2769775390625,-9.442748091603054,-5.061068702290076,-26.755725190839694,squat
1604240733.2977197,1.0185546875,0.517822265625,-0.2513427734375,-10.0,-15.923664122137405,-39.25954198473283,squat
1604240733.3377197,1.0087890625,0.5595703125,-0.2369384765625,-11.954198473282442,-16.083969465648856,-49.595419847328245,squat
1604240733.3777196,0.983154296875,0.517822265625,-0.2364501953125,-13.541984732824428,-18.396946564885496,-57.98473282442748,squat
1604240733.4177196,0.913818359375,0.544921875,-0.2264404296875,-15.83969465648855,-24.015267175572518,-64.44274809160305,squat
1604240733.4577196,0.935791015625,0.56005859375,-0.2564697265625,-12.564885496183207,-27.671755725190838,-72.94656488549619,squat
1604240733.4977195,0.840087890625,0.58349609375,-0.2059326171875,-17.366412213740457,-27.404580152671755,-78.19847328244275,squat
1604240733.5377195,0.771728515625,0.622314453125,-0.2330322265625,-16.557251908396946,-31.396946564885496,-83.51908396946565,squat
1604240733.5777194,0.7138671875,0.67041015625,-0.2205810546875,-18.419847328244273,-36.56488549618321,-88.6030534351145,squat
1604240733.6177194,0.691162109375,0.732177734375,-0.2386474609375,-19.51145038167939,-34.19083969465649,-90.48091603053435,squat
1604240733.6577194,0.589599609375,0.723388671875,-0.2467041015625,-21.19083969465649,-33.221374045801525,-93.40458015267176,squat
1604240733.6977193,0.5419921875,0.771484375,-0.2730712890625,-25.83206106870229,-28.83969465648855,-94.63358778625954,squat
1604240733.7377193,0.449462890625,0.81103515625,-0.2008056640625,-22.748091603053435,-26.18320610687023,-98.80152671755725,squat
1604240733.7777193,0.404052734375,0.83740234375,-0.2159423828125,-21.641221374045802,-26.282442748091604,-97.8473282442748,squat
1604240733.8177192,0.31787109375,0.78857421875,-0.1878662109375,-18.541984732824428,-20.129770992366414,-88.14503816793894,squat
