accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
1604241000.063913,-0.1165771484375,0.894775390625,-0.3951416015625,12.419847328244275,-53.51145038167939,0.7862595419847328,walk
1604241000.103913,-0.0753173828125,0.87841796875,-0.4691162109375,7.412213740458015,-43.66412213740458,10.618320610687023,walk
1604241000.143913,-0.1678466796875,0.992431640625,-0.4183349609375,-1.702290076335878,-48.3206106870229,23.03053435114504,walk
1604241000.183913,-0.1007080078125,1.182373046875,-0.4127197265625,-3.1297709923664123,-67.87022900763358,49.81679389312977,walk
1604241000.223913,0.2890625,1.26416015625,-0.3660888671875,-38.282442748091604,-79.93129770992367,108.57251908396947,walk
1604241000.263913,0.29931640625,1.26953125,0.244384765625,-45.343511450381676,-77.20610687022901,167.65648854961833,walk
1604241000.3039129,-0.4578857421875,1.217529296875,-0.0909423828125,-12.946564885496183,-138.96946564885496,166.6946564885496,walk
1604241000.3439128,-0.4730224609375,1.1591796875,-0.1756591796875,25.16793893129771,-186.45801526717557,138.54198473282443,walk
1604241000.3839128,-0.0242919921875,0.83544921875,-0.2567138671875,41.19847328244275,-152.5114503816794,128.5801526717557,walk
1604241000.4239128,0.156982421875,0.873779296875,-0.3204345703125,35.213740458015266,-44.29770992366412,104.46564885496183,walk
1604241000.4639127,0.1962890625,0.8134765625,-0.2073974609375,29.61832061068702,18.076335877862597,77.86259541984732,walk
1604241000.5039127,0.011962890625,0.683837890625,-0.1080322265625,7.67175572519084,62.18320610687023,28.84732824427481,walk
1604241000.5439126,-0.2132568359375,0.698486328125,0.004150390625,6.152671755725191,38.267175572519086,-3.931297709923664,walk
1604241000.5839126,-0.3900146484375,0.755615234375,-0.0450439453125,-12.007633587786259,-50.35114503816794,-23.61832061068702,walk
1604241000.6239126,-0.0318603515625,0.957763671875,-0.1207275390625,-48.458015267175576,-95.8473282442748,-46.97709923664122,walk
1604241000.6639125,0.865478515625,1.0986328125,-0.4898681640625,-3.4732824427480917,-135.9236641221374,-13.82442748091603,walk
1604241000.7039125,0.96044921875,0.985595703125,-0.6649169921875,8.564885496183207,-102.25954198473282,4.488549618320611,walk
1604241000.7439125,0.09814453125,0.980224609375,-0.2894287109375,18.84732824427481,-60.656488549618324,-24.96946564885496,walk
1604241000.7839124,0.04541015625,1.1435546875,-0.0823974609375,-21.755725190839694,-14.061068702290076,-69.9618320610687,walk
1604241000.8239124,0.564208984375,0.997314453125,-0.4232177734375,43.267175572519086,-65.9618320610687,-20.221374045801525,walk
1604241000.8639123,-0.4146728515625,0.8154296875,-0.0728759765625,-14.427480916030534,12.557251908396946,-38.54961832061068,walk
1604241000.9039123,-0.3853759765625,0.76708984375,-0.2293701171875,-6.748091603053435,-161.70992366412213,-28.16030534351145,walk
1604241000.9439123,0.038330078125,1.06103515625,-0.8624267578125,-1.8625954198473282,8.587786259541986,-40.64885496183206,walk
1604241000.9839122,-0.0335693359375,0.92041015625,-0.3121337890625,-10.709923664122137,-14.312977099236642,-45.70992366412214,walk
1604241001.0239122,-0.0643310546875,0.913330078125,-0.4671630859375,-2.2213740458015265,-46.61832061068702,-26.603053435114504,walk
1604241001.0639122,0.049072265625,0.8408203125,-0.3992919921875,5.366412213740458,-56.6412213740458,-12.709923664122137,walk
1604241001.103912,0.092041015625,0.86376953125,-0.3414306640625,5.3893129770992365,-44.70229007633588,-10.793893129770993,walk
1604241001.143912,0.00439453125,0.93115234375,-0.2493896484375,0.3893129770992366,-20.00763358778626,-19.9618320610687,walk
